granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,537586,476200,47088,77.1,68.3,6.8,697010,Oslo,2021-11-22
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,361713,325136,21416,74.9,67.4,4.4,482645,Rogaland,2021-11-22
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,209409,191583,16562,78.9,72.1,6.2,265544,Møre og Romsdal,2021-11-22
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191225,172611,16849,79.6,71.8,7,240345,Nordland,2021-11-22
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,977687,868940,92345,78.1,69.4,7.4,1252384,Viken,2021-11-22
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300548,274063,30400,81.1,74,8.2,370603,Innlandet,2021-11-22
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,335286,301932,32824,79.5,71.6,7.8,421882,Vestfold og Telemark,2021-11-22
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,240483,216159,15712,77.9,70,5.1,308843,Agder,2021-11-22
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,494275,442881,40742,77.4,69.3,6.4,638821,Vestland,2021-11-22
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,377937,342981,30735,80.2,72.8,6.5,471124,Trøndelag,2021-11-22
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,188531,171275,16070,77.9,70.7,6.6,242168,Troms og Finnmark,2021-11-22
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,537576,476193,47088,77.1,68.3,6.8,697010,Oslo,2021-11-22
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11554,10579,702,78.1,71.5,4.7,14787,Eigersund,2021-11-22
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,110047,98327,6572,76.3,68.2,4.6,144147,Stavanger,2021-11-22
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27809,25102,1062,74.5,67.3,2.8,37323,Haugesund,2021-11-22
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58807,52851,2816,73.1,65.7,3.5,80450,Sandnes,2021-11-22
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2423,2226,298,74.4,68.3,9.1,3257,Sokndal,2021-11-22
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2355,2204,264,74.2,69.4,8.3,3174,Lund,2021-11-22
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2138,1955,250,76.6,70,9,2791,Bjerkreim,2021-11-22
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13563,12177,977,70.9,63.7,5.1,19120,Hå,2021-11-22
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14558,13133,550,73.3,66.2,2.8,19848,Klepp,2021-11-22
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14167,12816,294,74.1,67.1,1.5,19106,Time,2021-11-22
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8643,7744,725,71.6,64.2,6,12064,Gjesdal,2021-11-22
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20650,18605,1636,75.2,67.8,6,27457,Sola,2021-11-22
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8776,7883,490,77.6,69.7,4.3,11315,Randaberg,2021-11-22
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10012,8905,786,76.6,68.1,6,13070,Strand,2021-11-22
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1964,1775,141,76.1,68.8,5.5,2580,Hjelmeland,2021-11-22
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2957,2673,110,77.6,70.2,2.9,3809,Suldal,2021-11-22
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3616,3304,88,79.3,72.4,1.9,4561,Sauda,2021-11-22
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,422,395,33,83.2,77.9,6.5,507,Kvitsøy,2021-11-22
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,694,643,10,80.8,74.9,1.2,859,Bokn,2021-11-22
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8358,7449,613,74.8,66.6,5.5,11178,Tysvær,2021-11-22
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31436,28321,2533,74.2,66.9,6,42345,Karmøy,2021-11-22
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164,161,41,85.4,83.9,21.4,192,Utsira,2021-11-22
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6593,5902,424,75.7,67.8,4.9,8705,Vindafjord,2021-11-22
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19384,17861,2425,80.4,74.1,10.1,24099,Kristiansund,2021-11-22
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25965,23963,2416,81.5,75.2,7.6,31870,Molde,2021-11-22
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,51464,47292,3499,77.2,70.9,5.2,66670,Ålesund,2021-11-22
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2523,2338,200,81.8,75.8,6.5,3083,Vanylven,2021-11-22
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1846,1695,350,75.5,69.3,14.3,2445,Sande,2021-11-22
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6698,6037,316,75.6,68.2,3.6,8858,Herøy,2021-11-22
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6552,5837,615,76.4,68.1,7.2,8575,Ulstein,2021-11-22
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3749,3460,348,72.9,67.3,6.8,5140,Hareid,2021-11-22
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8507,7815,570,78.6,72.2,5.3,10830,Ørsta,2021-11-22
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3587,3292,211,80,73.4,4.7,4482,Stranda,2021-11-22
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6120,5471,372,80.6,72,4.9,7596,Sykkylven,2021-11-22
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7209,6474,640,76.6,68.8,6.8,9409,Sula,2021-11-22
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6397,5654,486,75.2,66.5,5.7,8506,Giske,2021-11-22
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5495,4986,596,79,71.7,8.6,6958,Vestnes,2021-11-22
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5541,5060,221,78.9,72,3.1,7026,Rauma,2021-11-22
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2823,2497,297,80.2,70.9,8.4,3522,Aukra,2021-11-22
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4677,4315,188,80.5,74.3,3.2,5808,Averøy,2021-11-22
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2084,1926,226,78.4,72.5,8.5,2658,Gjemnes,2021-11-22
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2461,2284,405,82.4,76.5,13.6,2985,Tingvoll,2021-11-22
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5832,5420,719,83.8,77.9,10.3,6956,Sunndal,2021-11-22
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4913,4615,306,83.7,78.6,5.2,5872,Surnadal,2021-11-22
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1716,1601,40,80.6,75.2,1.9,2128,Smøla,2021-11-22
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2772,2571,366,79.9,74.1,10.6,3468,Aure,2021-11-22
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8684,7959,224,80.5,73.8,2.1,10781,Volda,2021-11-22
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2083,1910,185,83.3,76.3,7.4,2502,Fjord,2021-11-22
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10328,9251,341,77.6,69.5,2.6,13317,Hustadvika,2021-11-22
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42106,37658,4033,80.1,71.6,7.7,52560,Bodø,2021-11-22
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17145,15531,1720,79.2,71.7,7.9,21661,Narvik,2021-11-22
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1135,997,40,81.2,71.4,2.9,1397,Bindal,2021-11-22
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1653,1483,154,83.1,74.5,7.7,1990,Sømna,2021-11-22
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6295,5619,474,80.7,72,6.1,7803,Brønnøy,2021-11-22
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,985,885,12,83.3,74.9,1,1182,Vega,2021-11-22
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,380,347,51,81.7,74.6,11,465,Vevelstad,2021-11-22
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1364,1221,101,76.1,68.1,5.6,1793,Herøy,2021-11-22
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5898,5386,765,79.8,72.8,10.3,7394,Alstahaug,2021-11-22
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1734,1565,117,76.1,68.7,5.1,2278,Leirfjord,2021-11-22
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10692,9702,161,80.6,73.1,1.2,13268,Vefsn,2021-11-22
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1188,1092,66,81.8,75.2,4.5,1453,Grane,2021-11-22
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1074,970,134,84.8,76.6,10.6,1267,Hattfjelldal,2021-11-22
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1097,1000,120,80,72.9,8.8,1371,Dønna,2021-11-22
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1316,1188,195,77.4,69.8,11.5,1701,Nesna,2021-11-22
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3451,3135,273,77.9,70.8,6.2,4428,Hemnes,2021-11-22
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20826,18519,647,79.8,71,2.5,26083,Rana,2021-11-22
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1470,1317,58,78.4,70.2,3.1,1876,Lurøy,2021-11-22
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,344,307,36,77.8,69.5,8.1,442,Træna,2021-11-22
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,905,786,37,75,65.2,3.1,1206,Rødøy,2021-11-22
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4840,4289,359,77.5,68.7,5.7,6247,Meløy,2021-11-22
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1503,1382,260,78.3,72,13.5,1920,Gildeskål,2021-11-22
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,857,806,79,85.8,80.7,7.9,999,Beiarn,2021-11-22
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3675,3345,354,79.3,72.2,7.6,4632,Saltdal,2021-11-22
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7843,7141,783,81.4,74.1,8.1,9640,Fauske,2021-11-22
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1544,1423,217,80.8,74.4,11.3,1912,Sørfold,2021-11-22
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2041,1855,270,78.9,71.7,10.4,2586,Steigen,2021-11-22
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1629,1533,167,81.3,76.5,8.3,2003,Lødingen,2021-11-22
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1065,997,112,80.4,75.3,8.5,1324,Evenes,2021-11-22
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,420,383,61,86.1,78.5,12.5,488,Røst,2021-11-22
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,530,482,45,75.9,69.1,6.4,698,Værøy,2021-11-22
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,988,910,115,79.8,73.5,9.3,1238,Flakstad,2021-11-22
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8928,8175,1225,77.5,71,10.6,11521,Vestvågøy,2021-11-22
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7551,6746,763,78.1,69.8,7.9,9670,Vågan,2021-11-22
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6364,5815,481,78.9,72.1,6,8065,Hadsel,2021-11-22
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2062,1928,224,80,74.8,8.7,2576,Bø,2021-11-22
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3393,3080,401,76.8,69.7,9.1,4416,Øksnes,2021-11-22
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8231,7463,1008,78.3,71,9.6,10514,Sortland,2021-11-22
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3721,3428,493,81.1,74.7,10.7,4588,Andøy,2021-11-22
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,797,734,90,80.6,74.2,9.1,989,Moskenes,2021-11-22
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2180,1984,147,80.7,73.5,5.4,2701,Hamarøy,2021-11-22
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24839,22404,3723,79.1,71.4,11.9,31387,Halden,2021-11-22
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,40309,35680,4757,81.2,71.8,9.6,49668,Moss,2021-11-22
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,45917,41256,7870,80,71.9,13.7,57372,Sarpsborg,2021-11-22
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,65345,58207,7945,78.5,70,9.6,83193,Fredrikstad,2021-11-22
total,municip,municip3005,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,77867,68548,7670,76.4,67.3,7.5,101859,Drammen,2021-11-22
total,municip,municip3006,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21851,19383,2006,78.9,70,7.2,27694,Kongsberg,2021-11-22
total,municip,municip3007,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24472,21994,701,79.4,71.3,2.3,30835,Ringerike,2021-11-22
total,municip,municip3011,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4040,3697,386,86.1,78.8,8.2,4694,Hvaler,2021-11-22
total,municip,municip3012,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1120,1053,153,84.5,79.5,11.5,1325,Aremark,2021-11-22
total,municip,municip3013,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2992,2748,571,83.1,76.3,15.9,3601,Marker,2021-11-22
total,municip,municip3014,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,34455,31681,4608,76.2,70.1,10.2,45201,Indre Østfold,2021-11-22
total,municip,municip3015,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3013,2720,474,78.8,71.1,12.4,3825,Skiptvet,2021-11-22
total,municip,municip3016,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6519,5868,497,79.3,71.4,6,8222,Rakkestad,2021-11-22
total,municip,municip3017,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5957,5366,761,78.7,70.9,10.1,7568,Råde,2021-11-22
total,municip,municip3018,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4403,3917,398,75.8,67.5,6.9,5805,Våler,2021-11-22
total,municip,municip3019,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14001,12505,1140,76.6,68.4,6.2,18290,Vestby,2021-11-22
total,municip,municip3020,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,46829,41226,3021,78,68.7,5,60034,Nordre Follo,2021-11-22
total,municip,municip3021,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15815,13978,1576,77.4,68.4,7.7,20439,Ås,2021-11-22
total,municip,municip3022,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12849,11525,1316,80.5,72.2,8.2,15953,Frogn,2021-11-22
